,AVG(CARRIER_DELAY)
0,8.295431691763298
0,6.926120179327769
0,6.527145461458222
0,6.054444698354661
0,5.762646873025901
0,5.230170795932322
0,5.2549353316931136
0,5.441491973923678
0,6.125003697896636
0,5.886389356392549
0,5.429822612889918
0,5.055125420078353
0,5.078940806332667
0,5.441411252660061
0,10.539720321332936
0,4.831574055633008
0,4.745048634712293
0,4.482366613585549
0,4.952850491609582
0,4.423802602531229
0,9.97050685023959
0,4.342803126298823
0,4.790337603908543
0,4.559128511668179
0,4.426649101345629
