,AVG(CARRIER_DELAY)
0,5.91916609198451
0,5.655864389879097
0,5.2549353316931136
0,6.890395638193765
0,4.339287050325459
0,5.659629368988975
0,4.9404963864400795
0,4.952930092988363
0,4.185883402892617
0,4.482366613585549
0,8.779467680608365
0,4.69673105303713
0,5.055125420078353
0,5.623494459167133
0,4.367746986670791
0,4.495790435577216
0,3.8319416552161507
0,5.720980573203618
0,4.377729425809681
0,4.088204893227058
0,4.342803126298823
0,4.892517952281677
0,5.083931337188426
0,4.005869383410629
0,4.101379271153831
