,AVG(CARRIER_DELAY)
0,5.882625707625707
0,5.623494459167133
0,5.171891010407991
0,4.960455490982394
0,5.273370505888787
0,4.734210604309297
0,3.760074726447825
0,5.662637167837966
0,3.9708396930269294
0,4.931327598503704
0,4.377729425809681
0,4.482595013119135
0,4.342803126298823
0,4.831574055633008
0,4.184086422461066
0,4.482366613585549
0,8.750480358667806
0,3.9261756428629773
0,4.101667922165926
0,4.767911851652782
0,4.9404963864400795
0,4.075405445054919
0,7.804748416664014
0,4.769866211726677
0,3.760881147540984
