,AVG(CARRIER_DELAY)
0,4.8015881532353255
0,3.9282300033171462
0,4.626056428205566
0,7.085562078712764
0,4.342803126298823
0,5.3873483722232995
0,3.8028567516999043
0,6.315880392204569
0,3.838777064519639
0,5.490763456609301
0,3.838536896105903
0,4.770282372416788
0,3.769555311788035
0,3.8113528132623555
0,4.163087691401231
0,5.273370505888787
0,4.101667922165926
0,3.826467463830849
0,4.559128511668179
0,4.339287050325459
0,3.708490408673895
0,5.393263917165959
0,4.653091027097193
0,5.027448937937248
0,6.18667008240468
