,#,quality,Average delay (min.),Coverage,Description
0,1,403,6.0,49%,CRS_ELAPSED_TIME < 299.00000 $\wedge$ CRS_DEP_TIME_DELTA > 815.00000
1,2,371,5.7,59%,CRS_DEP_TIME_DELTA > 712.50000
2,3,172,6.3,6%,MONTH != 4 $\wedge$ DISTANCE > 1709.00000 $\wedge$ CRS_ELAPSED_TIME < 299.00000
3,4,316,5.6,53%,CRS_ELAPSED_TIME < 299.00000 $\wedge$ CRS_ARR_TIME_DELTA > 845.00000
4,5,148,5.6,12%,DISTANCE > 1148.50000 $\wedge$ MONTH != 4 $\wedge$ MONTH != 5
5,6,214,5.1,65%,CRS_ARR_TIME_DELTA > 717.50000
6,7,177,7.1,3%,CRS_DEP_TIME_DELTA > 1313.00000 $\wedge$ CRS_ARR_TIME_DELTA < 872.50000
7,8,138,5.3,19%,DISTANCE > 1355.50000
8,9,394,6.0,43%,CRS_DEP_TIME_DELTA > 885.00000
9,10,64,4.8,26%,MONTH != 6 $\wedge$ MONTH != 4 $\wedge$ DISTANCE < 2201.50000 $\wedge$ MONTH != 5
10,11,131,5.2,23%,DISTANCE > 1148.50000
11,12,313,5.6,54%,CRS_ARR_TIME_DELTA > 846.50000
12,13,48,4.7,23%,DAY_OF_WEEK < 3.50000 $\wedge$ MONTH != 4 $\wedge$ MONTH != 6 $\wedge$ DISTANCE < 2201.50000
13,14,110,5.0,24%,CRS_ELAPSED_TIME > 172.50000
14,15,64,4.8,26%,MONTH = 7
15,16,169,6.7,4%,CRS_DEP_TIME_DELTA > 1313.00000 $\wedge$ CRS_ARR_TIME_DELTA < 1403.00000
16,17,41,4.6,34%,DAY_OF_WEEK < 3.50000 $\wedge$ MONTH != 4
17,18,402,6.0,49%,CRS_DEP_TIME_DELTA > 816.50000
18,19,34,4.6,51%,MONTH != 4 $\wedge$ MONTH != 5
19,20,39,4.6,51%,MONTH != 6 $\wedge$ MONTH != 4 $\wedge$ DISTANCE < 2201.50000
20,21,19,4.5,50%,MONTH != 5 $\wedge$ MONTH != 6 $\wedge$ DISTANCE < 2177.00000
21,22,39,4.6,51%,MONTH != 4 $\wedge$ MONTH != 6
22,23,111,5.1,18%,CRS_ELAPSED_TIME > 172.50000 $\wedge$ MONTH != 5
23,24,19,4.5,50%,MONTH != 6 $\wedge$ MONTH != 5
24,25,22,4.5,76%,MONTH != 4
,,,5.3,37%,
