#,quality,Coverage,Description
1,403,49%,CRS_ELAPSED_TIME < 299.00000 $\wedge$ CRS_DEP_TIME_DELTA > 815.00000
2,371,59%,CRS_DEP_TIME_DELTA > 712.50000
3,172,6%,MONTH != 4 $\wedge$ DISTANCE > 1709.00000 $\wedge$ CRS_ELAPSED_TIME < 299.00000
4,316,53%,CRS_ELAPSED_TIME < 299.00000 $\wedge$ CRS_ARR_TIME_DELTA > 845.00000
5,148,12%,DISTANCE > 1148.50000 $\wedge$ MONTH != 4 $\wedge$ MONTH != 5
6,214,65%,CRS_ARR_TIME_DELTA > 717.50000
7,177,3%,CRS_DEP_TIME_DELTA > 1313.00000 $\wedge$ CRS_ARR_TIME_DELTA < 872.50000
8,138,19%,DISTANCE > 1355.50000
9,394,43%,CRS_DEP_TIME_DELTA > 885.00000
10,64,26%,MONTH != 6 $\wedge$ MONTH != 4 $\wedge$ DISTANCE < 2201.50000 $\wedge$ MONTH != 5
11,131,23%,DISTANCE > 1148.50000
12,313,54%,CRS_ARR_TIME_DELTA > 846.50000
13,48,23%,DAY_OF_WEEK < 3.50000 $\wedge$ MONTH != 4 $\wedge$ MONTH != 6 $\wedge$ DISTANCE < 2201.50000
14,110,24%,CRS_ELAPSED_TIME > 172.50000
15,64,26%,MONTH = 7
16,169,4%,CRS_DEP_TIME_DELTA > 1313.00000 $\wedge$ CRS_ARR_TIME_DELTA < 1403.00000
17,41,34%,DAY_OF_WEEK < 3.50000 $\wedge$ MONTH != 4
18,402,49%,CRS_DEP_TIME_DELTA > 816.50000
19,34,51%,MONTH != 4 $\wedge$ MONTH != 5
20,39,51%,MONTH != 6 $\wedge$ MONTH != 4 $\wedge$ DISTANCE < 2201.50000
21,19,50%,MONTH != 5 $\wedge$ MONTH != 6 $\wedge$ DISTANCE < 2177.00000
22,39,51%,MONTH != 4 $\wedge$ MONTH != 6
23,111,18%,CRS_ELAPSED_TIME > 172.50000 $\wedge$ MONTH != 5
24,19,50%,MONTH != 6 $\wedge$ MONTH != 5
25,22,76%,MONTH != 4
